name,cuisine,address,distinction,author,blurb,price,add_info
"
	Bouley
",Cuisine French,"163 Duane St., New York 10013","[[star], [star], [standing-20]]",MICHELIN guide inspectors,"
			Even from the outside, Bouley hints at the certain level of luxury that every successful TriBeCa restaurant strives to attain. Here, it begins with an industrial façade, high arches, exposed brick, and oversized windows dressed in silk. Inside, hand-painted wallpaper, bold watercolors, and a generous floral budget make for an operatic setting reminiscent of a château-maybe the same one from which they salvaged the floors (literally). An undeniable formality keeps the varied clientele muted but never hushed. The ambience may seem a bit old school, yet the cooking mixes tradition with modernity. Meals may start with a fresh, earthy mix of wild mushrooms with sweet garlic, subtle seasoning, and grilled toro that brings unexpected dimension to the dish. Slightly smoky Alaskan salmon with corn sauce and hearts of palm is almost overshadowed by the superlative pomme purée that is buttery yet retains its pronounced potato flavor. But, remember to pace yourself as Bouley pushes one of the most serious carb chariots in town-think death by bread. Finish with an amaretto flan piped with white chocolate, caramelized banana, and silky-smooth maple and amaretto ice cream. It's delicious and never disappoints.
				","
			From 75 USD
			to 150 USD
","[
Meal prices

over $75

, 

			 Additional information 
			
		

A particularly interesting wine list
Private dining rooms

, 
Useful information

Address 163 Duane St., New York 10013
Phone +12129642525
Website: http://www.davidbouley.com


Driving directions

]"
"
	Landmarc
",Cuisine Mediterranean,"179 West Broadway, New York 10013",[[standing-13]],MICHELIN guide inspectors,"
			Chef/owner Marc Murphy's Landmarc is the TriBeCa destination for meeting friends over casual drinks and food that happens to be rib-sticking delicious. Downstairs, the bi-level space showcases thick steel cables suspending industrial art and a horseshoe bar flanking a large cooking fire that warms the soul and sizzles those lamb chops. The upstairs is more serene. Meals may start with lighter plates of smoky and blistered shishito peppers flecked with crunchy sea salt. Then, move on to deeply satisfying (and reasonably priced) nightly pasta specials, like thick and buttery spaghetti alla Bolognese. ""Landmarc classic"" cheese plates are a reliable highlight. Miniature desserts mean that there is always room for a lemon-custard tart (or four).
				","
			From 25 USD
			to 49 USD
","[
Meal prices

$25 to $50

, 

			 Additional information 
			
		

Meals outside
Brunch
A particularly interesting wine list
Private dining rooms

, 
Useful information

Address 179 West Broadway, New York 10013
Phone +12123433883
Website: http://www.landmarc-restaurant.com


Driving directions

]"
"
	Zutto
",Cuisine Asian,"77 Hudson St., New York 10013",[[standing-12]],MICHELIN guide inspectors,"
			Exposed filament bulbs and a red brick wall give this cozy Japanese pub an inviting, industrial feel. There is a communal wood table for groups, small sushi bar, and long wall of banquettes and tables topped with linen napkins cleverly folded, origami-style. Service is eager, efficient, and less concerned with the flow of a leisurely meal. Unlike many Japanese restaurants with one specialty, this izakaya's diverse menu includes bar snacks, sushi, steamed buns, and ramen. Tangy, spicy buffalo cauliflower is a playful take on wings, replacing chicken with bright orange chunks of deep-fried cauliflower tempered by cool, creamy ranch sauce. The Zutto fried rice is another ideal drinking accompaniment, peppered with kimchi and pastrami beneath a runny egg.
				","
			From 25 USD
			to 49 USD
","[
Meal prices

$25 to $50

, 

			 Additional information 
			
		

Wheelchair accessible

, 
Useful information

Address 77 Hudson St., New York 10013
Phone +12122333287
Website: http://www.zuttonyc.com


Driving directions

]"
"
	Jungsik
",Cuisine Korean,"2 Harrison St., New York 10013","[[star], [star], [star], [star], [standing-14]]",MICHELIN guide inspectors,"
			Cool, chic, and completely urbane, Jungsik is the epitome of contemporary elegance. Inside the large, neatly partitioned space, find rich browns and ivory furnishings with flattering lighting that is just bright enough to see your food clearly. The chairs are deep and tables are well spaced, but request a plush corner banquette for maximum comfort. Even the place settings show sculptural beauty through dark pottery and white porcelain. The ambience is fairly quiet and somewhat reflective. The modern cuisine is confident, complex, and happens to be leaning much more toward Europe than Korea of late. No matter-the cooking remains profoundly enjoyable. At the same time, the most inspired dishes are the ones that retain their heritage, as in the dome of seaweed-seasoned rice with cubes of smoked and torched yellowtail, finished with slivered lettuce. Before the crispy red snapper arrives at the table, hot oil is poured overtop to cook the fish but also to yield incredibly crisped skin, served with a brunoise of hearty greens and potatoes and rich perilla vinaigrette. Artful desserts include black raspberry and coconut sorbet with crumbles of spinach cake, yuzu meringue, and perfect berry slices.
				","
			From 75 USD
			to 150 USD
","[
Meal prices

over $75

, 

			 Additional information 
			
		

Wheelchair accessible
A particularly interesting wine list
Notable cocktail list
Private dining rooms

, 
Useful information

Address 2 Harrison St., New York 10013
Phone +12122190900
Website: http://www.jungsik.kr


Driving directions

]"
"
	Tamarind
",Cuisine Indian,"99 Hudson St., New York 10013",[[standing-14]],MICHELIN guide inspectors,"
			Building Tamarind cost a cool five million, and it shows-every inch of this soaring space oozes with grandeur. With its classic TriBeCa edifice and gorgeous marble bar (an ideal perch for post-work indulgence), the glass-fronted behemoth draws a posh crowd of Wall Streeters and well-heeled locals. Most impressive of all is the sleek display kitchen, outfitted with a gleaming tandoor that turns out exceptional Mughlai food like nawab shami kabab (lamb patties seasoned with ginger) and hara bhara kabab (pearl-white paneer mingled with bright emerald-green spinach). While service is mediocre at best and the kitchen may fall behind at peak times, mains like kolambi pola (prawns in a coconut-and-chili curry) make up for any gaffes and guarantee a return visit.
				","
			From 50 USD
			to 74 USD
","[
Meal prices

$50 to $75

, 

			 Additional information 
			
		

Wheelchair accessible
Private dining rooms

, 
Useful information

Address 99 Hudson St., New York 10013
Phone +12127759000
Website: http://www.tamarindrestaurantsnyc.com


Driving directions

]"
"
	MarkJoseph
",Cuisine Steakhouse,"261 Water St., New York 10038",[[standing-13]],MICHELIN guide inspectors,"
			This smart and sleek steak haven continues to claim its rightful place among the faithful haunts of area residents, business types, and carnivores in town. Handsome in its dark wood-paneled glory, with a wine cellar display and white tablecloths, this traditional den exudes a clubby Wall Street scene. Expect to see a crowd of suits discussing stocks, shares, and sports scores, of course. The quality of USDA Prime beef is paramount here, but the culinary technique is just another reason why this steakhouse succeeds. Steaks are perfect medium rare, brushed with sweet melting fat, seasoned with salt, and perhaps served with a gravy boat of béarnaise sauce. Finish off with a classic slice of pecan pie topped with swirls of whipped cream.
				","
			From 50 USD
			to 74 USD
","[
Meal prices

$50 to $75

, 
Useful information

Address 261 Water St., New York 10038
Phone +12122770020
Website: http://www.markjosephsteakhouse.com


Driving directions

]"
"
	Bâtard
",Cuisine Contemporary,"239 West Broadway, New York 10013","[[star], [star], [standing-13]]",MICHELIN guide inspectors,"
			239 West Broadway will be a familiar address to those who know their restaurants as it has hosted a number of seminal establishments over the years-namely Montrachet and Corton. Drew Nieporent's Bâtard restaurant is now firmly in situ and once again we have a talented chef making waves in TriBeCa. Chef Markus Glocker's cooking is very precise and his dishes look quite delicate on the plate. But like a good featherweight they pack more of a punch than you're expecting. You'll even notice his Austrian roots in evidence in some of the dishes, such as short rib and tafelspitz terrine, or the Granny Smith and sweetbread strudel. The room is comfortable and neat and the atmosphere grown-up yet animated. When it comes to service though, it appears that the restaurant has mistaken informality for indifference as it lacks coordination or direction. So you may need to remind yourself that you're here primarily for the food. But that food is very good indeed.
				","
			From 50 USD
			to 74 USD
","[
Meal prices

$50 to $75

, 

			 Additional information 
			
		

A particularly interesting wine list

, 
Useful information

Address 239 West Broadway, New York 10013
Phone +12122192777
Website: http://www.batardtribeca.com


Driving directions

]"
"
	Peking Duck House
",Cuisine Chinese,"28 Mott St., New York 10013",[[standing-13]],MICHELIN guide inspectors,"
			It's worth your while to wend through Chinatown's teeming sidewalks to delight in the eponymous house specialty here. Once inside, however crowded, the neutral-toned interior adds a calming effect to the many tables gearing up for their bird's arrival, and the mode of transport is a linen-draped cart.The duck is deftly carved and dramatically served by the chef himself, so push in your chair and prepare for a festive DIY feast of warm, soft pancakes, cool cucumbers, scallions, and sweet hoisin. Although the duck is what makes this a destination, there are several other entrées like sizzling sliced beef with scallops; and live lobster with ginger and scallions. To begin, the clear golden broth of the duck wonton soup is an appropriate prelude to the main event.
				","
			From 25 USD
			to 49 USD
","[
Meal prices

$25 to $50

, 
Useful information

Address 28 Mott St., New York 10013
Phone +12122271810
Website: http://www.pekingduckhousenyc.com


Driving directions

]"
"
	North End Grill
",Cuisine American,"104 North End Ave., New York 10282",[[standing-14]],MICHELIN guide inspectors,"
			Its contemporary look features that same stunning combination of white umbrella-like fixtures, black-stained walls, and midnight blue banquettes. However, the reigning chef in the open kitchen reveals a menu shift towards grilled foods, updated comfort favorites, and charcuterie. Start with an artfully arranged terrine layering strips of pig's ear topped with green beans and mustard vinaigrette. The flavors of wood infuse every element of a thick, blistered pizza decked with potatoes, pancetta, sweet onions, and gently poached eggs. French sensibilities shine in the simply grilled Colorado lamb chops with ribbons of zucchini, baby leeks, and carrots. For dessert, the creamsicle pie bursts with the taste of candied orange, whipped cream, and childhood.
				","
			From 50 USD
			to 74 USD
","[
Meal prices

$50 to $75

, 

			 Additional information 
			
		

Wheelchair accessible
Meals outside
Brunch
Notable cocktail list
Private dining rooms

, 
Useful information

Address 104 North End Ave., New York 10282
Phone +16467471600
Website: http://www.northendgrillnyc.com


Driving directions

]"
"
	Tribeca Grill
",Cuisine Contemporary,"375 Greenwich St., New York 10013",[[standing-13]],MICHELIN guide inspectors,"
			Beckoning business titans day and night, this corner restaurant is a destination for its big, bright dining room with well-spaced tables. Wall-to-wall windows overlook two quintessential TriBeCa streets, while exposed brick, moody artwork, and a spectacular bar smack in the center of the room complete the refined vibe. Gigantone, large tubular pasta loaded with a braised short rib Bolognese beneath a dollop of fresh sheep's milk ricotta, makes a rich start to a meal. The decadence continues with seared scallops over creamy carrot risotto, topped with a truffled-Madeira vinaigrette, and brought over the top with a few fragrant shavings of black truffle. Desserts are as classic as the space; try the banana tart with malted chocolate and pecan ice cream.
				","
			From 50 USD
			to 74 USD
","[
Meal prices

$50 to $75

, 

			 Additional information 
			
		

Wheelchair accessible
Meals outside
Brunch
A particularly interesting wine list
Private dining rooms

, 
Useful information

Address 375 Greenwich St., New York 10013
Phone +12129413900
Website: http://www.myriadrestaurantgroup.com


Driving directions

]"
"
	Nom Wah Tea Parlor
",Cuisine Chinese,"13 Doyers St., New York 10013","[[bib-gourmand], [bib-gourmand], [standing-12]]",MICHELIN guide inspectors,"
			Even after a renovation, this ""parlor"" continues to thrive as a retro dive replete with truly awful service. But keep reading, because the supremely delicious food and unreal value more than make up for Nom Wah's many flaws.Dim sum is the main draw at this busy neighborhood diner, where small groups fill the dining counter and pack into pleather booths for the likes of pan-fried dumplings stuffed with ground pork and sweet shrimp. Scallion pancakes flaunt outstanding texture; fried shrimp wrapped in bean curd unites top product with heavenly flavor; and noodles sautéed with superior soy is a salt fiends dream. Bring hungry friends and expect lots of leftovers, because the simple pleasures here have been known to thrill even the most ardent epicurean.
				","
			From 13 USD
			to 24 USD
","[
Meal prices

under $25

, 

			 Additional information 
			
		

Dim sum

, 
Useful information

Address 13 Doyers St., New York 10013
Phone +12129626047
Website: http://www.nomwah.com


Driving directions

]"
"
	Bo Ky
",Cuisine Chinese,"80 Bayard St., New York 10013",[[standing-12]],MICHELIN guide inspectors,"
			If you're drawn to those bare bones sort of places where food quality, beyond-warm service, and value speak for itself, this is your Chinatown slam dunk. Bo Ky's steamed-up windows (from the succulent meats roasting inside) are an invitation to come in and get cracking on a perfect bowl of wonton and noodle soup.Crispy skinned and exquisitely juicy chicken drizzled with dark soy and served beside chili-studded nuoc cham may be the closet local sib to the Hong Kong classic, presented here with a Vietnamese touch. Its textural interplay is as first-rate as the house specialty itself- a crispy fried shrimp-and-scallion roll wrapped in bean curd skin. Spice fiends can turn up the heat at home-their secret-recipe addictive sauces are for sale by the jar!
				","
			From 13 USD
			to 24 USD
","[
Meal prices

under $25

, 

			 Additional information 
			
		

No credit cards

, 
Useful information

Address 80 Bayard St., New York 10013
Phone +12124062292


Driving directions

]"
"
	Thái Soŉ
",Cuisine Vietnamese,"89 Baxter St., New York 10013",[[standing-12]],MICHELIN guide inspectors,"
			Thái So'n is by far the best of the bunch in this Vietnamese quarter of Chinatown. It's neither massive nor fancy, but it's bright, clean, and perpetually in business. One peek at the specials on the walls (maybe golden-fried squid strewn with sea salt) will have you begging for a seat in the crammed room.Speedy servers scoot between groups of City Hall suits and Asian locals as they order the likes of cha gio, pork spring rolls with nuoc cham; or goi cuon, fantastic summer rolls filled with poached shrimp and vermicelli. Naturally, pho choices are abundant, but the real star of the show is pho tai-where raw beef shavings are cooked to tender perfection when combined with a scalding hot, savory broth replete with herbs, sprouts, and chewy noodles.
				","
			From 13 USD
			to 24 USD
","[
Meal prices

under $25

, 
Useful information

Address 89 Baxter St., New York 10013
Phone +12127322822


Driving directions

]"
"
	Macao Trading Co.
",Cuisine Asian,"311 Church St., New York 10013",[[standing-13]],MICHELIN guide inspectors,"
			Droves of curious downtowners continue their love affair with this cushy mainstay for Macanese cuisine. With nothing but a red light over a dark door to mark its entrance, make your way into this bi-level beauty, accoutered with heavy velvet drapes, double-height ceilings, and a dimly lit yet sexy bar. The mien is playful, buzz palpable, and first-rate drinks are flowing. Start with the Tuscan kale-and-romaine salad, enticingly smoky with texturally perfect potato ""croutons"" and paprika vinaigrette. Then, move on to a Taipa steamboat (cross between a Chinese hotpot and Portuguese paella) teeming with briny shellfish, fried chicken wings, and linguiça. Sample a slice of their chocolate diablo cake for an indulgent and notably decadent finish.
				","
			From 50 USD
			to 74 USD
","[
Meal prices

$50 to $75

, 

			 Additional information 
			
		

Notable cocktail list

, 
Useful information

Address 311 Church St., New York 10013
Phone +12124318750
Website: http://www.macaonyc.com


Driving directions

]"
"
	Xe Lua
",Cuisine Vietnamese,"86 Mulberry St., New York 10013",[[standing-12]],MICHELIN guide inspectors,"
			Fantastic food is the sole focus of this Vietnamese dive. The décor-albeit stark-highlights a semi-tropical theme and the crowd might be touristy, but don't let that deter you as the food is wonderfully authentic and very reasonable.Condiments atop each table serve to enhance even the most humble goi cuon stuffed with grilled pork and vermicelli. Muc chien don is a plate of chewy, crisped squid tossed in salt, pepper, and tailed by cucumbers and red onion for ample tang; while the house special pho xe lua reveals a rich, savory broth full of noodles, brisket, and beef tendon. Combine this with sprouts, chilies, and herbs for a surefire delight.Enjoy dessert with a Vietnamese iced coffee that will give even your great-aunt Grace the shakes.
				","
			From 13 USD
			to 24 USD
","[
Meal prices

under $25

, 
Useful information

Address 86 Mulberry St., New York 10013
Phone +12125778887


Driving directions

]"
"
	Locanda Verde
",Cuisine Italian,"377 Greenwich St., New York 10013",[[standing-13]],MICHELIN guide inspectors,"
			This ever-trendy yet refined Italian ristorante is as much coveted for its gorgeous setting as its lineup of rustic, tasty fare. The ambience is always abuzz and everyone looks beautiful amid low lights, a long bar, and walls adorned with wine bottles. Breakfast verges on divine-think lemon pancakes and apple-cider donuts. Bare tables are packed throughout the day with a stylish crowd waxing poetic about crostini topped with blue crab and jalapeño. Also try terrific house-made pasta such as pappardelle with lamb Bolognese finished with a dollop of sheep's milk ricotta, or paccheri dressed in ""Sunday night ragù."" No one should leave without sampling superb sweets, like the apple and concord grape crostata with rosemary hazelnut brittle and brown butter gelato.
				","
			From 50 USD
			to 74 USD
","[
Meal prices

$50 to $75

, 

			 Additional information 
			
		

Meals outside
Brunch
Notable cocktail list
Private dining rooms

, 
Useful information

Address 377 Greenwich St., New York 10013
Phone +12129253797
Website: http://www.locandaverdenyc.com


Driving directions

]"
"
	Dim Sum Go Go
",Cuisine Chinese,"5 East Broadway, New York 10038","[[bib-gourmand], [bib-gourmand], [standing-12]]",MICHELIN guide inspectors,"
			This wildly popular dim sum joint is still packed to the gills most days, and for good reason: the Cantonese fare and dim sum served up at this bright, contemporary spot is as good as the food you'll find trekking out to those super-authentic places in far-flung Queens. Even better, they take reservations-and dim sum orders are taken by the staff as opposed to rolled around on the traditional cart, helping ensure the food stays super fresh.If the price seems a bit higher than its competitors, you'll find it's worth it for dishes like sweet shrimp, rolled in rice paper and laced with dark soy sauce; plump snow pea leaf dumplings spiked with vibrant ginger and garlic; rich, tender duck dumplings; or an irresistibly flaky baked roast pork pie.
				","
			From 25 USD
			to 49 USD
","[
Meal prices

$25 to $50

, 

			 Additional information 
			
		

Dim sum

, 
Useful information

Address 5 East Broadway, New York 10038
Phone +12127320797


Driving directions

]"
