name,cuisine,blurb,num_words,high_price,low_price,currency,distinctions,photos,photo_count,add_info,latitude,longitude,comments,num_comments,special_comment,avg_price,avg_USD,standing,bib,stars,assiette,value_menu
Villa Cipriani, Italian,"Although part of Reid's Palace, the Villa Cipriani occupies a villa separate from the hotel. An elegant setting for Italian cuisine with superb views of the cliffs, particularly from the terrace.",31,83.0,43.0,EUR,[[standing-14]],"[https://download.viamichelin.com/media/image2/XL/pg/ES/rj/w2QzSLTJ7QPsLVcw.jpg, https://download.viamichelin.com/media/image2/XL/GW/nd/VY/rATQW489s8u37GEQ.jpg]",2,"[Menu 51/83 € - Carte 43/76 €, dinner only, Interesting or extensive view, Park or Garden, Meals outside, Air conditioning, No dogs allowed, Enclosed car park, Address Estrada Monumental 139, 9000-098 Funchal, Phone +351291717171, Email reservations.rds@reidspalace.com, Website: http://www.reidspalace.com]",32.64069,-16.92367,,0,,63.0,70.45,14.0,0,0,0,0
Il Gallo d'Oro, Modern ,"This restaurant has an attractive glass-fronted wine cellar in the entrance hall-bar, a dining room on two levels with an elegant classic-cum-contemporary ambience, and an attractive terrace. It offers cuisine with a distinctly modern feel with a focus on meticulous presentation and strong flavours.",44,130.0,49.0,EUR,"[[star], [standing-15]]","[https://download.viamichelin.com/images/michelin_guide/xlarge/216835_1.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/216835_2.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/216835_3.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/216835_4.jpg]",4,"[Menu 49/130 € - Carte 77/95 €, dinner only, A particularly interesting wine list, Park or Garden, Meals outside, Wheelchair accessible, Air conditioning, No dogs allowed, Enclosed car park, Address Estrada Monumental 147, 9004-532 Funchal, Phone +351291707700, Email info@cliffbay.com, Website: http://www.portobay.com]",32.635265,-16.922329,,0,,89.5,100.09,15.0,0,1,0,0
Casa da Quinta, Modern ,"This restaurant occupies the oldest part of the estate property, which dates back to the 19C. It has various dining rooms, all classically elegant in style, as well as a few private rooms upstairs. The chef prepares cuisine with a contemporary flair.",42,59.0,40.0,EUR,[[standing-13]],[],0,"[Menu 42 € - Carte 40/59 €, dinner only, Park or Garden, Meals outside, No dogs allowed, Private dining rooms, Enclosed car park, Address Rua da Casa Branca 7, 9000-088 Funchal, Phone +351291700770, Email info@quintacasabranca.pt, Website: http://www.quintacasabranca.pt]",32.64092,-16.92764,,0,,49.5,55.35,13.0,0,0,0,0
Comendador Silva, Modern ,This restaurant stands out for its attractive terrace at the foot of the historic town walls. It serves contemporary-style cuisine with the occasional creative twist.,25,56.0,28.0,EUR,[[standing-13]],[],0,"[Carte 28/56 €, Meals outside, Air conditioning, No dogs allowed, Address Rua Padre Nunes Tavares 6, 2510-070 Óbidos, Phone +351262955360, Email reservas@senhorasrainhas.com, Website: http://www.senhorasrainhas-obidos.com]",39.36064,-9.1568,,0,,42.0,46.96,13.0,0,0,0,0
Rabelo, Modern ,An extremely pleasant and welcoming restaurant. It is a good option if you're looking to try regional specialities and more typical Portuguese cuisine. This is all prepared and presented in a contemporary manner.,33,58.0,32.0,EUR,[[standing-14]],[],0,"[Carte 32/58 €, Interesting or extensive view, Meals outside, Tennis, Air conditioning, No dogs allowed, Enclosed car park, Address Lugar da Ponte, 5085-034 Pinhão, Phone +351254730230, Email vintagedouro@nauhotels.com, Website: http://www.nauhotels.com]",41.18986,-7.54428,,0,,45.0,50.32,14.0,0,0,0,0
Midori, Japanese,"A reference for Japanese cooking in Portugal, Midori boasts a contemporary, design-inspired look. The menu, on which all fish is sourced from the Azores, is more extensive in the evening than at lunchtime.",33,105.0,30.0,EUR,[[standing-13]],[],0,"[Menu 30/105 € - Carte 44/51 €, dinner only, A particularly interesting wine list, Wheelchair accessible, Air conditioning, No dogs allowed, Private dining rooms, Garage, Address 2714-511 Sintra, Phone +351219249011, Email restaurant.reservations@penhalonga.com, Website: http://www.penhalonga.com]",38.76245,-9.39807,,0,,67.5,75.48,13.0,0,0,0,0
Braseirão do Minho, Portuguese,"Separate from the hotel and run independently from it. Excellent service and a traditional feel in keeping with the cooking. Extensive grounds and several dining rooms, including one for larger functions.",31,43.0,9.0,EUR,[[standing-13]],[],0,"[Menu 9/13 € - Carte 20/43 €, Tennis, Air conditioning, No dogs allowed, Enclosed car park, Address Vila Mea, 4920-140 Vila Mea, Phone +351251700245, Email geral@hotelminho.com, Website: http://www.hotelminho.com]",41.97572,-8.68435,,0,,26.0,29.08,13.0,0,0,0,0
A Casa do Avô, Traditional ,"Expertly run by its owner, this restaurant has a typically regional ambience. This provides a backdrop for abundant traditional cuisine in the form of an enticing set menu and buffet or à la carte options.",35,40.0,10.0,EUR,"[[bib-gourmand], [standing-13]]",[],0,"[Menu 10/20 € - Carte 26/40 €, bar lunch, Meals outside, Air conditioning, No dogs allowed, Enclosed car park, Address Sítio de Vale de Parra, 8200-427 Albufeira, Phone +351289513282, Email info@restaurante-acasadoavo.com, Website: http://www.restaurante-acasadoavo.com]",37.101482,-8.30845,,0,,25.0,27.96,13.0,1,0,0,0
O Barrigas, Traditional ,"This cosy, contemporary and popular restaurant offers a variety of starters and a choice of main courses. These are well complemented by daily suggestions and a buffet at weekends.",29,26.0,12.0,EUR,"[[bib-gourmand], [standing-12]]","[https://download.viamichelin.com/images/michelin_guide/xlarge/235220_1.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/235220_2.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/235220_3.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/235220_4.jpg]",4,"[Menu 12/19 € - Carte 22/26 €, Wheelchair accessible, Air conditioning, Address Largo 5 de Outubro 55, 2150-124 Golegã, Phone +351249717631, Email restaurante@obarrigas.com, Website: http://www.obarrigas.com]",39.40626,-8.486174,,0,,19.0,21.25,12.0,1,0,0,0
Sabores d'Itália, Italian,A sober façade conceals this attractive restaurant with two modern dining rooms. The predominantly Italian menu is enhanced by a few Portuguese dishes.,23,45.0,14.0,EUR,[[standing-13]],"[https://download.viamichelin.com/images/michelin_guide/xlarge/235325_1.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/235325_2.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/235325_3.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/235325_4.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/235325_5.jpg]",5,"[Menu 14 € - Carte 30/45 €, Wheelchair accessible, Air conditioning, No dogs allowed, Address Praça 5 de Outubro 40, 2500-111 Caldas da Rainha, Phone +351262845600, Email geral@saboresditalia.com, Website: http://www.saboresditalia.com]",39.403584,-9.136553,,0,,29.5,32.99,13.0,0,0,0,0
Tágide, Modern ,Climb a few steps to Tágide's elegant dining room embellished with spider lamps and attractive azulejo tilework. Updated traditional cuisine and a tapas bar at the entrance.,27,69.0,38.0,EUR,[[standing-14]],"[https://download.viamichelin.com/images/michelin_guide/xlarge/235927_1.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/235927_2.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/235927_3.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/235927_4.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/235927_5.jpg]",5,"[Menu 45 € - Carte 38/69 €, Interesting or extensive view, Air conditioning, No dogs allowed, Address Largo da Academia Nacional de Belas Artes 18-20, 1200-005 Lisboa, Phone +351213404010, Email geral@restaurantetagide.com, Website: http://www.restaurantetagide.com]",38.70801,-9.14011,,0,,53.5,59.83,14.0,0,0,0,0
O Javali, Regional,"Behind the public bar at the restaurant's entrance, heated by a fireplace, are two dining rooms with a rustic feel, and a profusion of stone and wood. Regional cuisine and game dishes are served.",34,35.0,15.0,EUR,[[standing-12]],"[https://download.viamichelin.com/images/michelin_guide/xlarge/237126_1.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/237126_2.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/237126_3.jpg]",3,"[Menu 15/25 € - Carte 20/35 €, Air conditioning, Address Quinta do Reconco 6, 5300-672 Bragança, Phone +351273333898, Email restaurantetipicoojavali@hotmail.com]",41.83615,-6.7476006,,0,,25.0,27.96,12.0,0,0,0,0
Feitoria, Modern ,"A restaurant of a very high standard featuring a bar for a pre-dinner drink and a dining room arranged in contemporary-style. The chef offers creative, modern cuisine steeped in tradition, with a focus on high quality products and top-notch presentation.",40,145.0,70.0,EUR,"[[star], [standing-14]]",[https://download.viamichelin.com/image2/XL/06/qh/kk/wNSOu81tx715JpnA.jpg],1,"[Menu 85/145 € - Carte 70/91 €, dinner only, A particularly interesting wine list, Meals outside, Wheelchair accessible, Air conditioning, No dogs allowed, Garage, Address Doca do Bom Sucesso, 1400-038 Lisboa, Phone +351210400208, Email receptionbelem@altishotels.com, Website: http://www.restaurantefeitoria.com]",38.693336,-9.213211,,0,,107.5,120.21,14.0,0,1,0,0
Quinta São Luiz,  moderne,"Cette maison de campagne, qui jadis abritât un couvent et un moulin à huile, accueille désormais un magnifique restaurant au décor minimaliste. Cuisine créative aux saveurs internationales.",27,40.0,30.0,EUR,[[standing-14]],"[https://download.viamichelin.com/images/michelin_guide/xlarge/257760_1.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/257760_2.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/257760_3.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/257760_4.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/257760_5.jpg]",5,"[Carte 30/40 €, Parc ou jardin, Air conditionné, Parking clos, Adresse Rua do Padrão, 3140-337 Pereira, Téléphone +351239642000, Email reservas@quintasluiz.com, Site web http://www.quintasluiz.com]",40.18546,-8.58399,,0,,35.0,39.14,14.0,0,0,0,0
Uva, Modern ,"This restaurant is on the hotel's rooftop, next to the pool, with a reasonably modern interior and good views. Contemporary cuisine, which is more ambitious in the evening.",28,50.0,30.0,EUR,[[standing-13]],[],0,"[Menu 30/50 € - Carte 30/48 €, Interesting or extensive view, Meals outside, Air conditioning, No dogs allowed, Private dining rooms, Address Rua dos Aranhas 27-A, centro comercial Dolce Vita, 9000-044 Funchal, Phone +351291009000, Email front.office@hotelthevine.com, Website: http://www.hotelthevine.com]",32.64777,-16.913425,,0,,40.0,44.73,13.0,0,0,0,0
Dom Joaquim,  traditionnelle,"Cette affaire familiale vous reçoit dans une unique salle soigneusement aménagée (murs imitation pierre) et propose une carte variée, un menu dégustation et des suggestions du jour. Personnel de service au complet.",32,40.0,23.0,EUR,"[[bib-gourmand], [standing-13]]","[https://download.viamichelin.com/images/michelin_guide/xlarge/263434_1.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/263434_2.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/263434_3.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/263434_4.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/263434_5.jpg]",5,"[Menu 23 € - Carte 25/40 €, Air conditionné, Interdit aux chiens, Adresse Rua dos Penedos 6, 7000-537 Évora, Téléphone +351266731105, Email restaurantedomjoaquim@gmail.com]",38.57272,-7.914476,,0,,31.5,35.23,13.0,1,0,0,0
Amieira Marina, Traditional ,This panoramic restaurant alongside the waters of the Gran Lago del Alqueva boasts two bright and modern dining rooms with attractive views. Traditional cuisine from the region.,27,45.0,30.0,EUR,[[standing-13]],"[https://download.viamichelin.com/images/michelin_guide/xlarge/264329_1.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/264329_2.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/264329_3.jpg]",3,"[Carte 30/45 €, dinner only - except Friday, Saturday, Sunday and Bank Holidays, Interesting or extensive view, Meals outside, Air conditioning, No dogs allowed, Enclosed car park, Address 7220-999 Amieira, Phone +351266611173, Email restaurante@amieiramarina.com, Website: http://www.amieiramarina.com]",38.22823,-7.53586,,0,,37.5,41.94,13.0,0,0,0,0
Nau dos Corvos, Fish and seafood,"The Nau dos Corvos enjoys a superb location on top of a rocky promontory right above the sea. It has an entrance hall with a display cabinet, live seafood tank, a panoramic private bar and a completely glass-enclosed dining room.",40,50.0,25.0,EUR,[[standing-13]],"[https://download.viamichelin.com/images/michelin_guide/xlarge/265003_1.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/265003_2.jpg, https://download.viamichelin.com/images/michelin_guide/xlarge/265003_3.jpg, https://download.viamichelin.com/image2/XL/SA/gf/U0/QmRz6cMF_dApq_RQ.jpg, https://download.viamichelin.com/image2/XL/2y/nL/rP/S6SSG1Rwi05yGjkQ.jpg]",5,"[Menu 25/50 € - Carte 29/48 €, Interesting or extensive view, Meals outside, Air conditioning, No dogs allowed, Enclosed car park, Address Cabo Carvoeiro (junto ao farol), 2520-605 Peniche, Phone +351262783168, Email restaurante@naudoscorvos.com, Website: http://www.naudoscorvos.com]",39.35964,-9.40841,,0,,37.5,41.94,13.0,0,0,0,0
Casa Matos, Regional,"A family-run restaurant with a bar at the entrance offering 'petiscos', as well as an elegant dining room on two floors. Well-prepared traditional cuisine with a regional slant.",28,35.0,35.0,EUR,"[[bib-gourmand], [standing-12]]",[],0,"[Carte approx. 35 €, Air conditioning, No dogs allowed, Enclosed car park, Address Rua Padre Antonio Almeida 7-A, 3865-282 Salreu, Phone +351963111367, Email casamatosrest@live.com.pt]",40.73088,-8.56047,,0,,35.0,39.14,12.0,1,0,0,0
