name,cuisine,blurb,ZIP,latitude,longitude,avg_USD,stars,bib,assiette,wine,view,garden,outside_dining,air_conditioning,no_dogs,parking,dinner_only,wheelchair,private_dining,with_rooms,booking,lunch_only,dinner_tasting,valet
All'onda, Italian,"All'onda cuts a dramatic impression from the outset, especially come nightfall, when its narrow, all-glass façade lights up like a dream. Inside, you'll find a décor swept in whitewashed brick, rich walnut paneling, honeycomb tiles and lovely, whimsical flower arrangements. Also the co-founder of Uma Temakeria, Chef Chris Jaeckle pulls influence from all sorts of lands far and near, surprising customers with every new visit.Dinner might kick off with creamy hamachi crudo, sporting curls of crispy carrot and a fresh kick of peperoncino oil; and then move on to a nest of al dente bucatini twirled with uni, spicy breadcrumbs, and tarragon. Curly ramen-yes ramen-bobbing in parmesan broth with a soft egg, pork belly, and Brussels sprouts is a welcome surprise.",10003,40.73483,-73.99314,62.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I Sodi, Italian,"Manhattan has classic Italian and new Italian, but not many thoughtful Italian restaurants. Tuscan native Rita Sodi is out to change that with this trattoria. She consciously selected every aspect of the design, from the heavy linen napkins to the thick, striated glass windows that hide the modern space from the marauding groups of young people on Bleecker. Inside this oasis, Negronis prep palates for al dente rigatoni and hearty, meat-focused dishes like the coniglio in porchetta. This exceptional rabbit preparation combines bacon-wrapped loin with a sweet wine- rosemary- and garlic-sauce. The herbal quality of such savoriness brings out the almost austere nature of the lean rabbit, showing how truly intuitive and innovative Italian cooking can be.",10014,40.733334,-74.00503,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Piora, Contemporary,"The West Village's impossibly quaint charm gets even more charming with an elegant dinner for two at beautiful Piora. The setting is polished, upscale and cozy, with a marble bar up front teeming with well-heeled beauties sipping cocktails; and a sleek white dining room in the back, featuring a stunning wall of glass overlooking a lush urban garden. It's a soothing experience from the start, a chance to sit back and sink into a perfectly prepared drink (don't miss the creative libations) and let the hustle of the city slough off as you consider the neighborhood's manicured charms. The polished staff together with elegantly prepared and very contemporary cuisine-carefully presented and borrowing from the many influences of Piora's Korean-born owner and Italian-American chef-only seal the deal. Take the perfectly al dente rigatoni, plated with savory crumbles of ground lamb-and-pork sausage and laced with dollops of bright green nettle pesto, jalapeño slivers, and shaved pecorino; or a beautifully prepared Four Story Hill Farm poularde, rendered to juicy, crispy perfection, and garnished with tawny sweet potato, pickled mustard seeds, tender Brussels sprouts, and foie gras foam.",10014,40.730625,-74.00669,62.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sushi Nakazawa, Japanese,"This is a typical NY destination, right down to the tough reservation. The calm setting contrasts the buzz surrounding Chef Daisuke Nakazawa. That hype means the place operates at its own pace; and your meal depends on where you sit-the counter offers fresh, meticulously prepared sushi and engaging chefs, while the dining room is steerage with apathetic servers doling out mediocre pieces of sushi all at once. But, this kitchen is stocked with the best of America's waters. Uni from Maine is beautifully prepared and notable thanks to hay-smoked bonito. Then, expect a live scallop, pearly and sweet, with just a hint of yuzu pepper paste. And, that Florida tiger prawn could not be more fresh or enjoyable as it is knifed and shelled. For dessert, the lychee sorbet is ace.",10014,40.731716,-74.00451,112.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barawine, Contemporary,"Amid the leafy, brownstone-lined Mount Morris Park Historic District, Barawine is an inviting dining room overseen by Fabrice Warin (formerly the sommelier at Orsay). This eye-catching space emanates a warm glow, enticing Lenox Avenue passersby to step in for a drink, snack, and much more. The bar area's communal table is a convivial perch, in addition to the quieter seating in back. Throughout, whitewashed walls attractively double as wine storage. The crowd-pleasing menu defies classification but offers something for everyone. Expect to enjoy béchamel-enriched macaroni and cheese with diced ham and melted Gruyère; chicken breast with ratatouille and feta; as well as vegan options such as quinoa and grilled tofu salad, and dairy-free chocolate mousse.",10027,40.804707,-73.94764,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
The Cecil, International,"As evidenced by this buzzing hot spot, Harlem continues to prove it's a destination-worthy enclave for serious eats. Neon signage out front marks The Cecil's entrance and the lounge's provocative artwork gets things off to a sexy start once diners step inside. Dinner here is a trip around the globe, guided by a menu that spotlights Africa, Asia, South America, and the US South. Skillet-fried salmon, dusted with cornmeal for a satisfying crunch, comes plated atop spicy kimchi-inspired slaw; and the feijoada is a stoneware pot full of black beans, braised oxtail, and merguez garnished with slivered collard greens and orange segments. Even the wine list has a passport, with an impressive selection from black producers under the heading African Diaspora.",10026,40.80472,-73.95268,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Juni, Contemporary,"Australian exports don't just include beef and precious metals-these days its chefs also seem highly prized by various countries around the world. Being largely unhindered by an allegiance to a particular culinary tradition seemingly allows them to freely embrace innovation and creativity, and they all arrive with a healthy international outlook. Cairns-born Shaun Hergatt's cooking is certainly original. Whether you're having the squab with salsify or the ""rabbit and the carrot,"" you'll know you're in the hands of a kitchen with a mastery of modern cooking techniques. His dishes are all artfully presented creations and the combinations of superlative ingredients and well-defined flavors display far greater depth than the somewhat terse three-word menu descriptions would suggest. The dining room, within the Hotel Chandler, is a touch anodyne and tables are ridiculously far apart, but the atmosphere remains far from solemn thanks, in no small part, to the personality and genuine care shown by the well-informed and helpful service team.",10016,40.746197,-73.98527,112.5,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1
Clement, Contemporary,"This particularly elegant bar and dining room is one of the lucky few to call the Peninsula New York home. Created by design firm Yabu Pushelberg, the posh setting includes a series of rooms, each with their own striking touches that sprawl from a thickly carpeted staircase off the lobby. Worth a mention is the book room, with its stacks of bound-linen rag paper, mauve fabrics, and fresh flowers in mercury glasses. So too is the kitchen, whose talented team sends out ambitious preparations like the locally sourced scallop composition pairing carpaccio zested by pink grapefruit and yuzu with seared specimens swiped by sunchoke foam. Another winner is crisp-skinned black bass set beside maitake mushrooms and gussied up tableside with roasted duck broth.",10035,40.76156,-73.97513,62.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Larb Ubol, Thai,"Chef Ratchanee Sumpatboon is cooking up her own delicious Isaan-Thai storm in Hell's Kitchen. Inconspicuously lodged between Penn Station and Port Authority, Larb Ubol is tidy, cheerful, and dressed with colorful fabrics. The som tom kort muar is cool and limey yet very spicy with green and red chilies dotting the crunchy mound of lettuce, green papaya, rice noodles, and fried pork rind. Savory and satisfying pla dook larb, a spicy ground catfish salad, combines wild ginger, fresh mint, and lime. The deep-fried pork belly, pad ped moo krob, is rendered crisp yet wonderfully chewy, then stir-fried with chopped eggplant, sweet red pepper, and red curry paste. Cool off with a scoop of coconut ice cream garnished with preserved palm seeds.",10018,40.75509,-73.99494,18.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Pole, Contemporary,"Just off Park Avenue's pre-war grandeur is this hip addition to the neighborhood, courtesy of the Fat Radish team. The cozy space is on the ground floor of a brownstone, so the setting is understandably narrow. East Pole's front bar is hopping, while black leather booths in the back allow parties to sit and enjoy an eclectic menu in relative peace. The stimulating cooking here begins with a salad of roasted heirloom carrots with hijiki, diced avocado, and an Asian-inspired soy-and-sesame oil vinaigrette. Then move on to explore Kiev-style chicken, stuffed with garlic butter-enriched broccoli purée, or creamy fish pie stocked with cod, lobster, and fennel. The adult ice cream sundae is a boozy combo of Scotch-chocolate ice cream and Pimm's-soaked cherries.",10065,40.766167,-73.96579,62.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gastronomia Culinaria, Italian,"From his experience in world-celebrated kitchens, Chef/owner Vincenzo Pezzilli has created this darling Italian restaurant that far exceeds the Big Apple's expectations. A native of Rome, he presides over his talented kitchen nightly, carefully watching over each sous as they transport authentic flavors to a dining room of locals and Ivy League professors. Paintings decorate exposed brick walls, and the soft lighting creates just the scene for satisfying dishes and Italian wines. Pastas induce swoons, especially the enticingly chewy strascinati alla norcina with garlicky pork and porcini bathed in a delectable vegetable ragù. To close, the tortino ai due cioccolati (dark chocolate cake filled with white chocolate) is absolutely worth the 20-minute wait.",10025,40.798923,-73.96181,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aita, Italian,"Tucked into a cozy corner, this quintessential trattoria echoes the beauty and charm of Clinton Hill. Amid a robust culinary scene, Aita finds a niche with its warm (never effusive) service and equally comforting décor of antique mirrors, wood paneling, and lacy curtains. Chef/co-owner Roberto Aita certainly has a way with pasta, crafting thick, homemade noodles twirled with flavorful sauces, such as the taglierini with buttery clam broth that is slightly sweet with melted leeks and strewn with irresistibly briny littlenecks. Italian tradition echoes through beguilingly simple desserts, like a bowl of plump fresh berries with nothing more than a dollop of cream and end-of-meal biscotti. The wines are as deliciously approachable as the cooking itself.",11238,40.686527,-73.96664,37.0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Dover, Contemporary,"Creative global accents are the guiding force behind the enticing lineup of plates at this tastefully spare candlelit bistro. Chefs Walker Stern and Joe Ogrodnek (the duo behind Battersby) prove the world is their oyster-raw or broiled and seasonally embellished to kick things off-so settle in and expect to be impressed. Sweet watermelon aguachile is boldly dressed with fresh lime juice, spicy green chiles, blistered shisito peppers and hit of feta; while house-made links of merguez are nestled in a thick and creamy chickpea purée dotted with plumped golden raisins and accompanied by perfectly puffy wedges of hot pita. Dessert is delicious and seasonal: picture a summery olive oil cake plated with white peach semifreddo and verjus gelée.",11231,40.680145,-73.997086,62.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Take Root, Contemporary,"If you're lucky enough to score one of the precious few seats here, make it your mission to arrive on time. The tasting menu's procession begins promptly, so stragglers run the risk of missing out on its first luscious bites-and to deprive yourself of a crunchy fennel pollen-dusted potato croquette would be nothing short of a culinary crime. Since this is strictly a two-woman operation, the military-like precision is easily forgiven. Chef Elise Kornack single-handedly runs the immaculate kitchen while her wife, Anna Hieronimus, congenially attends to the tranquil, intimate dining room. But, the team works in tandem when it comes to presenting the uniquely composed plates. Substitutes are not offered, but there's little chance you won't be happy with what's to come. Black garlic-glazed lamb's tongue anticucho is a stimulating opening act for a refreshing summertime composition of slivered snap peas, intensely flavorful tomato pulp, wild ginger, and a creamy drizzle of chocolate mint purée. The chef's style is a fresh and light approach to quality product as seen in asparagus dressed with oysters whipped into a froth or roasted local pork plated with diced celtuce and wild strawberries.",11231,40.68445,-74.00025,112.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crazy Crab 888, Burmese,"You may second-guess your arrival to Crazy Crab 888 when you see the tarred-over landscape and auto body shops, but one step inside this downright delicious gem dispels any and all reservations. A sort of Burmese-Chinese seafood shack with influences from India and Thailand, the food offers recognizable ingredients in creative combos worthy of its wacky title-in Chinese culture, the number 8 is known to bring much good luck. The pickled ginger salad packs a punch-crunch of fried garlic with cilantro, and makes for a cooling lead into the seafood 888 platter of Dungeness crab and crawfish-complete with a bib! For more spice, Yunnan sliced pork, straight from the face of a pig, combines fleshy meat with peanuts and chilies for a funky, must-try delight.",11354,40.756847,-73.83401,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M. Wells Steakhouse, Gastropub,"At this ultra-hip gastropub in Long Island City, first impressions can be wildly deceiving. At first, you'll wonder if you got the right address: from the outside, M. Wells Steakhouse looks like the old auto body garage it's housed in, but step inside and wow-the interior is all gloss and swagger, from its gold-and-black wallpapered ceiling and dripping crystal chandeliers, to its sexy red walls, stunning bar area, and open, wood-burning kitchen. Service is friendly and just as polished and charming as the design; though mercifully more earnest than hip. They seem refreshingly invested in your experience, dropping dishes with explanations; checking in regularly; and genuinely thanking you for your patronage. Don't miss the opportunity to drill them on wine pairing ideas. Their answers are thoughtful and spot-on. M. Wells may bill itself as a steakhouse, but the excellent raw bar, fresh fish entrées, and unique appetizers are up for some serious best supporting nods. Don't miss the bone marrow onion soup, a rich, delicious take on the French classic; rabbit terrine studded with candied fruit, truffle, and served en croute; and decadent Paris-Brest, a crispy pastry piped with hazelnut cream.",11101,40.748543,-73.94241,112.5,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Venturo Osteria & Wine Bar, Italian,"From the moment it opened its doors, this delicious osteria has amassed a loyal following of Italian food fiends in Queens. Original canvas paintings dress the Aegean-blue walls and distressed wood accents reinforce the calm Mediterranean vibe-even at peak times. Chef Michelle Vido helms a dedicated kitchen that surprises with excellence and generosity. House-made defines every dish, from freshly baked focaccia to the honey yogurt drizzled upon a lemon tart. Plump P.E.I. mussels in a fiery, serrano-tomato broth make for a great snack. But, for a fuller meal, try chewy ribbons of whole-wheat fettuccine tossed with hedgehog mushrooms, leeks, and pancetta; or a roasted leg of lamb stuffed with garlicky herbs over braised chickpeas and escarole.",11104,40.743595,-73.920135,37.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cafe Katja, Austrian,"Beer mugs are clinking and schnapps is flowing at the rustic Cafe Katja. After slowly expanding to neighboring storefronts over the past few years, the owners have now realized its much-deserved grandeur without losing its charm. Expats plus locals are de rigueur here, and routinely stop in for incredibly delicious and unbelievably hearty eats. Co-chef and owner Erwin Schrottner (who hails from outside Graz) keeps everything authentic, from house-made bratwurst platters to the mustard sour cream. The pretzels arrive straight from Europe as divine carbo-bombs served with liptauer cheese and butter. The idea of warm chocolate cake may seem passé, but this rendition with terrifically bittersweet orange marmalade is a treat for all the senses.",10002,40.717693,-73.990524,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contra, Contemporary,"Avant-garde Contra brims with a youthful vibe, from the music overhead to the chefs' creativity. Beyond the entrance's neon sign is a small, lamp-lit space with exposed brick and inviting banquettes. At the bar, patrons can sample the forward-thinking fare or fully indulge in an affordable five-course menu. An experimental spirit is clear from the first bite of a warm poppy- and sesame seed-loaf brushed with pork fat and served with sweet-cream butter. Mackerel arrives with blistered skin, tender peas, favas, and charred Padron peppers. Superlative desserts show glimmers of genius, as in the loosely whipped cloud of sunchoke purée with warm toffee caramel and icy apple granita. Visit Wildair a few doors down for like-minded cuisine in a more casual setting by the same team.",10002,40.719917,-73.98922,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fung Tu, Asian,"It's a cool crowd that flocks to Fung Tu, tucked away in an up-and-coming Lower East Side pocket between the Manhattan and Williamsburg Bridge. Inside, you'll find a long, narrow dining space where chatty millennials and thirty-something parents with toddlers in tow dine with equal ease; and a cool bar upfront is designed with plate-sharing and lingering in mind. The Chinese-influenced menu cleverly mines its home continent for deliciously exotic accents, but the ambitious dishes can be hit or miss. Surefire items include the springy egg noodles tossed with tender chopped clams, then laced with scallions, ginger, garlic, and chili oil; or fresh, perfectly-cooked sea bream served with fennel, tangerine peel, chili oil, and fermented black beans.",10002,40.71535,-73.9916,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallflower, French,"When a Daniel restaurant veteran opens a casual little cocktail lounge and dining room, the locals will come and never leave. Xavier Herit spent seven years as head bartender at the renowned spot, and his expertise clearly shows in the impressive wine list and complex cocktails-he even crafts a house-made pinot noir syrup for the Scotch-based Père Pinard. The prix-fixe is a true deal in this neighborhood, especially with choices from the raw bar and charcuterie. For heartier fare, try the country pâté or rabbit terrine, both classically prepared and perfectly seasoned. Silky beef short ribs are deeply comforting, garnished with bacon, mushroom, cipollini, and just the right amount of brawny sauce. The coffee-chocolate pot de crème is deliciously intense.",10014,40.737736,-74.00212,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morgan's BBQ, Barbecue,"Barbecue has been having a New York moment, mixing up sauces ranging from the vinegar-heavy Eastern NC-style to sweeter Tennessee renditions. At Morgan's, it's all about Texas, where there is an unparalleled emphasis on the quality of meat and smoke. The bare wood tables, plastic bottles, and industrial rolls of paper towels provide no dining frills-not that they are missed. Come hungry for slow-smoked brisket with a spicy and inspired rub that's straight out of Austin. Hard to find outside the state, the Hill Country specialty of deep-fried turkey tails is especially tender, served over porky collard greens and salty-sweet cornbread with pepper jelly. Sides are to die for; same goes for the signature pecan ""cutie pie"" made with Widow Jane Bourbon.",11217,40.67987,-73.9742,37.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Sociale, Italian,"Although the name evokes a swinging place with cocktails and conversation, Sociale proves much more than a neighborhood social club. With true Italian hospitality and a cozy corner location across from a throw-back cinema, Sociale has become the Brooklyn Heights spot to spend a lively Friday night. Regulars wedge up to the bar for glasses of mineral-rich Italian whites or crowd into a charming, lair-like dining room, where the table inches away from yours may host your newest companion. The menu sticks to classics, with perfectly cooked spaghetti in fresh and chunky pomodoro sauce; or veal loin wrapped in pancetta and drizzled with great veal jus. Come dessert, the banana and date bread pudding with Guinness gelato is absolutely delicious.",11201,40.698666,-73.99252,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kang Ho Dong Baekjeong, Korean,"The Korean barbecue of the moment is a short LIRR trip away, and well worth the ride. This was the first East Coast branch of (Korean wrestler and TV personality) Kang Ho Dong's growing empire-and it is already among the best in the city. A younger sib now resides in midtown. The menu is focused, the space is enormous, the air is clean, and the service is friendly. Start your grill off with steamed egg, corn, cheese, and more to cook along the sides while marbled pork belly or deeply flavorful marinated skirt steak strips sizzle at the center. Bibimbap is a classic rendition, mixing beef seasoned with gochujang, vegetables, sesame, nori, and crisp sprouts in a hot stone bowl-so hot that it sears the bottom rice to golden while cooking the raw egg on top.",11354,40.764847,-73.81247,37.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cagen, Japanese,"Boasting soothing textured walls the color of sand, sturdy but comfortable furnishings, and cool slate flooring, thisserene and serious space is just what one would expect of a high-end Japanese dining room. But, beyond this quotidian look is a kitchen that turns out very exciting-and quite unexpected-food. Tables are an available option, but a seat facing Chef Toshio Tomita at the pristine elm counteris the place to be. While the menu offers both à la carte dining and a sushionly omakase, the Chef's Counter omakase is by far the best experience to be had here. This meal begins with a playful platter of bites (envision smoked ham katsu) to break the ice and stimulate the palate for the kitchen's sparkling sashimi. Slices of Hokkaido octopus, marinated bonito, and snapper are a treat, dressed not only with freshly ground wasabi root and top-notch soy sauce, but also the chef's signature chimichurri-a touch of fusion that signals his decade-plus years of working at Nobu. Another highlight is the chilled handmade soba served with spicy buckwheat sprouts and a divine dipping sauce. Cooked dishes, like fried soft-shell crab with watermelon salad, and impressive nigiri round out Cagen's kappo-style meal.",10009,40.72777,-73.98407,112.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somtum Der, Thai,"Based in Bangkok, this concrete jungle outpost is doing a terrific job of presenting Thai cuisine that perfectly reflects the modern spirit of the Northeast Isaan region. Upon entering Somtum Der, a cozy enclave stylishly accented with bright pops of red, diners are greeted by a glimpse of the kitchen and its somtum station. There, contents from the large glass jars of nuts, dried red chilies, and spices are ground in a mortar and pestle to produce its eponymous dish-also referred to as the city's best green papaya salad(s). Order big here, as the portions aren't massive and the food is plain terrific. The kitchen is happy to kick things up a notch spice-wise, so be aggressive and request the hotter end of the spectrum for greater authenticity. The service staff here is both friendly and hospitable, so heed their advice and include in every meal an addictive skewer of Der's-style grilled sticky rice to go along with the likes of lip-smacking larb tod. Other highlights have included succulent deep-fried chicken thighs sprinkled with toasted garlic chips and accompanied by a pungent citrus-and-spice dipping sauce. Smoky-sweet moo ping kati sod-marinated, grilled, and coconut-glazed pork set over cool rice vermicelli-is gloriously succulent and particularly addictive.",10009,40.725124,-73.98434,37.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Cafe El Presidente, Mexican,"With its colorful interior signage and indoor/outdoor aesthetic, this tasty taqueria near Madison Square Park could easily pass for a Mexico City hot spot. Soaring ceilings cover an open kitchen and tortilla-production station where disks of masa-the foundation for an enticing lineup of tacos-are turned out at a steady clip. Cafe El Presidente's attention to both quality and creativity is impressive, and proof is in the tacos especiales: wilted Swiss chard combined with roasted poblano chiles and sautéed yellow onion; or a spread of black bean purée topped with diced roasted sweet potato and dusting of cotija. For the ultimate conclusion, go for Gringa Madison, a rich pairing of pork al pastor and melted Chiuhuahua spiked with freshly chopped cilantro.",10010,40.74297,-73.9911,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
